Province,Temple
PrachinBuri,วัดคชสารมุนี
PrachinBuri,วัดหนองแหน
PrachinBuri,วัดบางตาล่า
PrachinBuri,วัดบึง
PrachinBuri,วัดอมาตยาราม
PrachinBuri,วัดบ้านโนน
PrachinBuri,วัดคู้ลำพัน
PrachinBuri,วัดบุพพาราม
PrachinBuri,วัดป่าหาดนางแก้ว
PrachinBuri,วัดป่าโพธิ์แก้ว
PrachinBuri,วัดหนองโพรง
PrachinBuri,วัดท่าข่อย
PrachinBuri,วัดใหม่พรหมสุวรรณ
PrachinBuri,วัดหัวไผ่
PrachinBuri,วัดรัตนชมภู
PrachinBuri,วัดหนองชะอม
PrachinBuri,วัดพระธาตุพงษ์คุณ
PrachinBuri,วัดอินทร์ไตรย์
PrachinBuri,วัดท่าเรือ
PrachinBuri,วัดบางปลาร้า
PrachinBuri,วัดกระทุ่มแพ้ว
PrachinBuri,วัดศรีสวัสดิ์
PrachinBuri,วัดใหม่กวางทอง
PrachinBuri,วัดสุทธิธรรม 
PrachinBuri,วัดศรีบุญเรือง
PrachinBuri,วัดบ้านด่าน
PrachinBuri,วัดปรือวนาราม
PrachinBuri,วัดทุ่งวิจิตร
PrachinBuri,วัดนครกบินทร์
PrachinBuri,วัดไชยมงคล
PrachinBuri,วัดรัตนโชติการาม
PrachinBuri,วัดผาสุขไพบูลย์
PrachinBuri,วัดนาบุญเฉลิมราษฎร์
PrachinBuri,วัดมาบเหียง
PrachinBuri,วัดสระมะเขือ
PrachinBuri,วัดป่าเกษมสุข
PrachinBuri,วัดโพธิญาณ
PrachinBuri,วัดบางกระเบา
PrachinBuri,วัดทวีชลขันธ์
PrachinBuri,วัดโคกอู่ทอง
PrachinBuri,วัดวังดินสอ
PrachinBuri,วัดบางแตน
PrachinBuri,วัดสระขุด
PrachinBuri,วัดโคกขี้เหล็ก
PrachinBuri,วัดมะกอกสีมาราม
PrachinBuri,วัดแก้วพิจิตร
PrachinBuri,วัดเจริญราษฎร์รังสรรค์
PrachinBuri,วัดป่าทรงธรรม  ตำบลโคกปีบ
PrachinBuri,วัดปรือวายใหญ่
PrachinBuri,วัดระเบาะเกตุ
PrachinBuri,วัดภักดีสุนทราวาส
PrachinBuri,วัดวังกวาง
PrachinBuri,วัดหนองแท่นพระ
PrachinBuri,วัดทับลาน
PrachinBuri,วัดจิกสูง
PrachinBuri,วัดโคกพนมดี
PrachinBuri,วัดทุ่งแฝก
PrachinBuri,วัดศรีวนาลัย
PrachinBuri,วัดใหม่โพธิ์เย็น
PrachinBuri,วัดบ้านพระ
PrachinBuri,วัดป่าญาณวิสุทธาวาส
PrachinBuri,วัดทุ่งสามัคคี
PrachinBuri,วัดชามีพุทโธวาท
PrachinBuri,วัดเนื่องเกียรตินิกร
PrachinBuri,วัดหนองจอก
PrachinBuri,วัดท่าอุดมสมบูรณาราม
PrachinBuri,วัดคลองตามั่น
PrachinBuri,วัดบ้านแก่ง
PrachinBuri,วัดแสงสว่าง
PrachinBuri,วัดปวิเวการาม
PrachinBuri,วัดสง่างาม
PrachinBuri,วัดไผ่งาม
PrachinBuri,วัดนางเลง
PrachinBuri,วัดสระแท่น
PrachinBuri,วัดป่าเมืองเก่า
PrachinBuri,วัดใหม่สูงเนิน
PrachinBuri,วัดด่านตะกั่วสามัคคี
PrachinBuri,วัดบ้านกุดตาเสก
PrachinBuri,วัดตะเคียนทอง
PrachinBuri,วัดบ้านโคกสว่าง
PrachinBuri,วัดนิโครธาวาส
PrachinBuri,วัดโปร่งพัฒนาราม ตำบลวังท่าช้าง
PrachinBuri,วัดราษฏร์ธรรมยุติกนิกายในอำเภอบ้านสร้าง
PrachinBuri,วัดลาดไพรจิตร
PrachinBuri,วัดหัวหว้าสามัคคี
PrachinBuri,วัดวังขอน
PrachinBuri,วัดแก้วสามัคคี
PrachinBuri,วัดเนินสูงวนาลัย
PrachinBuri,วัดหนองบัว
PrachinBuri,วัดอัมพวัน
PrachinBuri,วัดอุดมสันติ
PrachinBuri,วัดแสงจันทร์
PrachinBuri,วัดหนองไผ่ล้อม
PrachinBuri,วัดหลวงปรีชากุล
PrachinBuri,วัดอินทรแบก
PrachinBuri,วัดนาปรือ
PrachinBuri,วัดดงคุย
PrachinBuri,วัดคชรัตน์
PrachinBuri,วัดหนองจวง
PrachinBuri,วัดสระจาน
PrachinBuri,วัดคลองปลาดุกลาย
PrachinBuri,วัดหนองคุ้ม
PrachinBuri,วัดนูประสาทวราวาส
PrachinBuri,วัดเขาน้อย
PrachinBuri,วัดบ้านหอย
PrachinBuri,วัดสารวนาราม
PrachinBuri,วัดประทุมบูชา
PrachinBuri,วัดคลองหอทอง
PrachinBuri,วัดวาปีรัตนาราม
PrachinBuri,วัดบ้านไผ่
PrachinBuri,วัดบุสูง
PrachinBuri,วัดบางไผ่
PrachinBuri,วัดอุดมวิทยาราม
PrachinBuri,วัดเทวบุตร
PrachinBuri,วัดศรีประจันตคาม
PrachinBuri,วัดหว้าเอน
PrachinBuri,วัดโคกเขื่อน
PrachinBuri,วัดคำภู
PrachinBuri,วัดสำโรงวนาราม
PrachinBuri,วัดหนองนมหนู
PrachinBuri,วัดเรไร
PrachinBuri,วัดทุ่งตะลุมพุก
PrachinBuri,วัดอรัญญาราม
PrachinBuri,วัดพรหมเสนาราม
PrachinBuri,วัดบ้านสร้าง
PrachinBuri,วัดศรีเจริญราษฎร์ศรัทธาธรรม
PrachinBuri,วัดมงคลชัย
PrachinBuri,วัดป่าทรงคุณ
PrachinBuri,วัดแก้วฟ้ารังษี
PrachinBuri,วัดเขาอีโต้ 
PrachinBuri,วัดเนินอีแจน
PrachinBuri,วัดแหลมหิน
PrachinBuri,วัดบุญเกิด
PrachinBuri,วัดสามัคคีสุขาราม
PrachinBuri,วัดโบสถ์
PrachinBuri,วัดทับไทรธรรมาราม
PrachinBuri,วัดธรรมารังสฤษฎิ์
PrachinBuri,วัดราษฎร์รังษี
PrachinBuri,วัดเทพประสิทธยาราม
PrachinBuri,วัดประดิษฐาราม
PrachinBuri,วัดย่านรี
PrachinBuri,วัดป่าทรงธรรม
PrachinBuri,วัดพิกุลวนาราม
PrachinBuri,วัดดงบัง
PrachinBuri,วัดกรุงราษฎร์บำรุง
PrachinBuri,วัดโคกมะกอก
PrachinBuri,วัดพรหมประสิทธิ์
PrachinBuri,วัดหนองนาใน
PrachinBuri,วัดป่ามะไฟ
PrachinBuri,วัดชัยมงคลอุบลแสวงธรรม
PrachinBuri,วัดโยธาราษฎร์ศรัทธาธรรม
PrachinBuri,วัดคลองร่วมพัฒนา
PrachinBuri,วัดประเถท
PrachinBuri,วัดใหม่กรงทอง
PrachinBuri,วัดชะอม
PrachinBuri,วัดวังมะกรูด
PrachinBuri,วัดบุฝ้าย
PrachinBuri,วัดสระดู่ 
PrachinBuri,วัดหนองตลาด
PrachinBuri,วัดโคกลาน
PrachinBuri,วัดบรรพตรัตนาราม
PrachinBuri,วัดเกาะมะไฟ
PrachinBuri,วัดใหม่ดงกระทงยาม
PrachinBuri,วัดหนองปรือ
PrachinBuri,วัดปากแพรก
PrachinBuri,วัดบ้านเขาถ้ำ
PrachinBuri,วัดสันทรีย์
PrachinBuri,วัดคลองคล้า
PrachinBuri,วัดราษฏร์ธรรมยุติกนิกาย
PrachinBuri,วัดโคกบ้าน
PrachinBuri,วัดทุ่งไม้ค้าง
PrachinBuri,วัดเขาพระธรรมขันธ์
PrachinBuri,วัดสามัคคีสโมสร
PrachinBuri,วัดนิคมพัฒนา
PrachinBuri,วัดท่าศาลา
PrachinBuri,วัดราษฎร์เจริญศรัทธาธรรม
PrachinBuri,วัดแก่งดินสอ
PrachinBuri,วัดดงขี้เหล็ก
PrachinBuri,วัดโคกป่าแพง
PrachinBuri,วัดบูรณะราษฎร์ศรัทธาทำ
PrachinBuri,วัดกำแพง
PrachinBuri,วัดคุ้มเจริญ
PrachinBuri,วัดดงยาง
PrachinBuri,วัดเวฬุวนาราม
PrachinBuri,วัดสามัคคีพัฒนาราม
PrachinBuri,วัดบ้านคุ้ม
PrachinBuri,วัดโพธิ์ศรีถาวร
PrachinBuri,วัดใหม่สระบุรี
PrachinBuri,วัดธารเลา
PrachinBuri,วัดกระแจะ
PrachinBuri,วัดหนองสะแก
PrachinBuri,วัดนาคำ
PrachinBuri,วัดหนองสังข์
PrachinBuri,วัดป่าประดู่
PrachinBuri,วัดคลองมะเลา
PrachinBuri,วัดวัฒนารังษี
PrachinBuri,วัดเนินแสงทอง
PrachinBuri,วัดยายเม้าเตี้ย
PrachinBuri,วัดป่าญาณสิริสุทธาราม
PrachinBuri,วัดเลียบ
PrachinBuri,วัดสุนทรศรัทธาธรรม
PrachinBuri,วัดเกาะแดง
PrachinBuri,วัดหนองระเนตร
PrachinBuri,วัดทุ่งยาว
PrachinBuri,วัดธรรมารามประดิษฐ
PrachinBuri,วัดคลองมะไฟ
PrachinBuri,วัดบูรพาราม
PrachinBuri,วัดธรรมโพธิศรี
PrachinBuri,วัดสามัคคีธรรม
PrachinBuri,วัดทุ่งประพาส
PrachinBuri,วัดลำดวน
PrachinBuri,วัดหนองหอย
PrachinBuri,วัดโคกอุดม
PrachinBuri,วัดเนินผาสุกผลาราม 
PrachinBuri,วัดบ้านท่ากะทุ่ม 
PrachinBuri,วัดห้วยเกษียร
PrachinBuri,วัดลิรัญดอน 
PrachinBuri,วัดหลวงบดินทร์เดชา
PrachinBuri,วัดหลังถ้ำ
PrachinBuri,วัดดงไชยมัน
PrachinBuri,วัดหนองเกตุ
PrachinBuri,วัดจันทรังษี
PrachinBuri,วัดต้นโพธิ์ศรีมหาโพธิ
PrachinBuri,วัดศรีสุทธาวาส
PrachinBuri,วัดมะขามทอง
PrachinBuri,วัดนาแขม
PrachinBuri,วัดโคกอุดมดี
PrachinBuri,วัดเขาวงศ์
PrachinBuri,วัดเกตุการาม
PrachinBuri,วัดอินทร์ประชาราษฎร์
PrachinBuri,วัดหาดสูง
PrachinBuri,วัดบางคาง
PrachinBuri,วัดศีรษะเมือง
PrachinBuri,วัดมุ่งประสิทธิ์
PrachinBuri,วัดโป่งไผ่
PrachinBuri,วัดบ้านยาง
PrachinBuri,วัดหนองโดน
PrachinBuri,วัดหัวซาธรรมิการาม
PrachinBuri,วัดโคกมะม่วง
PrachinBuri,วัดสัมพันธ์
PrachinBuri,วัดเกาะเค็ดนอก
PrachinBuri,วัดเนาวรัตนาราม
PrachinBuri,วัดเนินบาก
PrachinBuri,วัดสนามพลี
PrachinBuri,วัดเขาดิน
PrachinBuri,วัดนพคุณทอง
PrachinBuri,วัดวังบัวทอง
PrachinBuri,วัดท้าวอู่ทอง
PrachinBuri,วัดสมบูรณ์ทรัพย์
PrachinBuri,วัดประสาธน์รังสรรค์
PrachinBuri,วัดประจันตคามเสมาราม ตำบลโพธิ์งาม
PrachinBuri,วัดสุวรรณวิทยาราม
PrachinBuri,วัดหนองแก้ว
PrachinBuri,วัดต้นสะตือ
PrachinBuri,วัดบางต้นจิก
PrachinBuri,วัดสามัคคีภิรมย์
PrachinBuri,วัดโพธาราม
PrachinBuri,วัดศรีสุวรรณาราม
PrachinBuri,วัดโพธิ์ศรี
PrachinBuri,วัดมหาไชย
PrachinBuri,วัดไพบูลย์ศรัทธาทำ
PrachinBuri,วัดพันธ์ศรี
PrachinBuri,วัดสิกขวัฒนาราม
PrachinBuri,วัดทัพช้าง
PrachinBuri,วัดป่าภาวนาธรรม
PrachinBuri,วัดหนองประเทือง
PrachinBuri,วัดคลองสมบูรณ์
PrachinBuri,วัดเทพพิทักษ์บุญญาราม
PrachinBuri,วัดหนองหูช้าง
PrachinBuri,วัดใหม่นาบุญ
PrachinBuri,วัดคลองระกำ
PrachinBuri,วัดหาดสะแก
PrachinBuri,วัดพรหมรังษี
PrachinBuri,วัดเนินดินแดง
PrachinBuri,วัดกลางเมืองเก่า
PrachinBuri,วัดมูลเหล็ก
PrachinBuri,วัดโนนสูง
PrachinBuri,วัดศรีมงคล
PrachinBuri,วัดตะคร้อ
PrachinBuri,วัดหนองกระจับ 
PrachinBuri,วัดโคกปีบ
PrachinBuri,วัดหนองเต่า
PrachinBuri,วัดพระยาทำ
PrachinBuri,วัดศรีเงินเจริญสุข
PrachinBuri,วัดพิทักษ์โสภณ
PrachinBuri,วัดโนนสะอาด
PrachinBuri,วัดศรีจันทราราม
PrachinBuri,วัดรัตนรังษี
PrachinBuri,วัดแจ้ง
PrachinBuri,วัดโพธิ์งาม
PrachinBuri,วัดหนองปรือน้อย
PrachinBuri,วัดรัตนเนตตาราม
PrachinBuri,วัดบ้านหว้าน
PrachinBuri,วัดอินทาราม
PrachinBuri,วัดเนินหอม
PrachinBuri,วัดบุยายใบ
PrachinBuri,วัดบรรพตเขมาราม
PrachinBuri,วัดไทรงาม
PrachinBuri,วัดตรอกปลาไหล
PrachinBuri,วัดโสมสุทธาวาส
PrachinBuri,วัดขิงกระชาย
PrachinBuri,วัดบ้านด่านศรัทธาอุดม
PrachinBuri,วัดแหลมไผ่
PrachinBuri,วัดประทุมวนาวาส 
PrachinBuri,วัดสว่างอารมณ์
PrachinBuri,วัดปทุมสราราม
PrachinBuri,วัดบางเตย
PrachinBuri,วัดชัยมงคล
PrachinBuri,วัดราษฎร์นิยม
PrachinBuri,วัดเนินไม้หอม
PrachinBuri,วัดท่าพาณิชย์
PrachinBuri,วัดคลองเฆ่
PrachinBuri,วัดป่าทรงนิมิตร  ตำบลโคกปีบ
PrachinBuri,วัดประจันตคามเสมาราม
PrachinBuri,วัดป่าหนองใหญ่
PrachinBuri,วัดหัวเขา
PrachinBuri,วัดบางแขยง
PrachinBuri,วัดม่วงขาว 
PrachinBuri,วัดเนินสูง
PrachinBuri,วัดหนองชาติ
PrachinBuri,วัดเหลืองทองรังษี
PrachinBuri,วัดเกาะสมอ
PrachinBuri,วัดตันทาราม
PrachinBuri,วัดหนองกระจับ
PrachinBuri,วัดบ่อแร่
PrachinBuri,วัดหนองศรีวิชัย
PrachinBuri,วัดหนองทะเล
PrachinBuri,วัดคำเลียบ
PrachinBuri,วัดหนองหัวคู
PrachinBuri,วัดหัวกรด
PrachinBuri,วัดเกาะแก้วสถาวร
PrachinBuri,วัดใหม่ประชุมชน
PrachinBuri,วัดบ่อทองรังสรรค์
PrachinBuri,วัดสมศรีราษฎร์
PrachinBuri,วัดสระข่อย
PrachinBuri,วัดป่าอุดมสุข
PrachinBuri,วัดดอนใหญ่
PrachinBuri,วัดเนินผาสุข
PrachinBuri,วัดเกาะเค็ดใน
PrachinBuri,วัดหนองงูเหลือม
PrachinBuri,วัดโคกสว่าง
PrachinBuri,วัดหนองจรเข้
PrachinBuri,วัดสัปปโคน
PrachinBuri,วัดโคกกรวด
PrachinBuri,วัดโคกกระจง
PrachinBuri,วัดวังน้ำขุ่น
PrachinBuri,วัดห้วยเกษียรใหญ่
PrachinBuri,วัดแปลงประดู่
PrachinBuri,วัดสระมรกต
PrachinBuri,วัดศรีกบินทร์
PrachinBuri,วัดบ้านโง้ง
PrachinBuri,วัดป่าเนินกลาง
PrachinBuri,วัดคลองกลาง
PrachinBuri,วัดราษฎร์รังสฤษฎิ์
PrachinBuri,วัดมะกอกแก้ว
PrachinBuri,วัดดงพระราม
PrachinBuri,วัดหนองคล้า
PrachinBuri,วัดสอนิมิตร
PrachinBuri,วัดประสาทรังสฤษดิ์
PrachinBuri,วัดประชาวาสอัมพวัน
PrachinBuri,วัดเขาลูกช้าง
prayao,วัดป่าแดงบุญนาค
prayao,วัดร่องปอ
prayao,วัดปงสนุก
prayao,วัดนาเจริญ
prayao,วัดอนาลโยทิพยาราม
prayao,วัดใหม่ดอนมูล
prayao,วัดพระธาตุขิงแกง
prayao,วัดป่าหนองหวี
prayao,วัดหลวงราชสัณฐาน
prayao,วัดป่าแฝกใต้
prayao,วัดแม่เย็นใต้
prayao,วัดรัตนวนาราม
prayao,วัดศรีโคมคำ
prayao,วัดอารามป่าน้อย
prayao,วัดดอยกู่ไก่แก้ว 
prayao,วัดหาดแฟน
prayao,วัดแบ่ง
prayao,วัดวังเค็มเก่า
prayao,วัดศรีจอมแจ้ง
prayao,วัดควร
prayao,วัดตุ่นใต้
prayao,วัดดู่
prayao,วัดวังถ้ำ
prayao,วัดทุ่งแต
prayao,วัดท่ากลอง
prayao,วัดจำไก่
prayao,วัดสันต้นหวีด
prayao,วัดศรีบุญชุม
prayao,วัดหัวขัว
prayao,วัดท่าร้อง
prayao,วัดป่าสัก
prayao,วัดแม่กาโทกหวาก
prayao,วัดภูเงิน
prayao,วัดสันกำแพง
prayao,วัดพระธาตุดอยน้อย
prayao,วัดปัว
prayao,วัดร่องป่าเปา
prayao,วัดศรีบุญเรือง
prayao,วัดร่องเข็ม
prayao,วัดทราย
prayao,วัดสันป่าเหียง
prayao,วัดสันป่าก้าว
prayao,วัดสันบัวบก
prayao,วัดศรีล้อม
prayao,วัดไชยมงคล
prayao,วัดควรดง
prayao,วัดต๊ำเหล่า
prayao,วัดหัวทุ่ง
prayao,วัดสุจิตธรรม 
prayao,วัดพระธาตุภูปอ 
prayao,วัดงิ้วหงกเวียงโกมคำนคร
prayao,วัดทุ่งกาไชย
prayao,วัดดอนมูล
prayao,วัดห้วยทรายคำ
prayao,วัดเก้าเงา
prayao,วัดกอก
prayao,วัดกาดถี
prayao,วัดศรีบุญยืน
prayao,วัดอินทร์ฐาน
prayao,วัดพระธาตุจอมไคร้
prayao,วัดต๋อมกลาง
prayao,วัดป่าแดง
prayao,วัดห้วยไคร้
prayao,วัดต๋อมใต้
prayao,วัดเมืองอิงหลวง
prayao,วัดทองแย้ม
prayao,วัดต๊ำน้ำล้อม
prayao,วัดทุ่มท่า
prayao,วัดป่าแฝกเหนือ
prayao,วัดสันป่าถ่อน
prayao,วัดกำแพงหิน
prayao,วัดบ้านเลี้ยว
prayao,วัดตุ่นกลาง
prayao,วัดใหม่บ้านบอน
prayao,วัดม่อนป่าสัก
prayao,วัดฝายกวาง
prayao,วัดบุญยืน
prayao,วัดบัวหล่าย 
prayao,วัดศรีเมืองชุม
prayao,วัดกิ่วชมภู
prayao,วัดศรีเมืองมูล
prayao,วัดทุ่งกว๋าว
prayao,วัดพระธาตุขุนห้วยสวด
prayao,วัดใหม่หลวง
prayao,วัดแม่ทะลาย
prayao,วัดต้นต้องเวียงโกมคำนคร
prayao,วัดสันเวียงใหม่
prayao,วัดพระธาตุกู่ตั้ง
prayao,วัดบ้านโป่ง
prayao,วัดแม่พริกเทพนิมิตร
prayao,วัดผาลาด
prayao,วัดมงคลคีรี
prayao,วัดบุญฮอม
prayao,วัดแม่ต๋ำ
prayao,วัดแผ่นดินทอง
prayao,วัดพระธาตุแจ่โห้ว
prayao,วัดบ้านทุ่ง
prayao,วัดแม่สุก
prayao,วัดผาตั้ง
prayao,วัดทุ่งต้นศรี
prayao,วัดเชียงบาน
prayao,วัดสุขเกษม
prayao,วัดศรีดอนมูล
prayao,วัดปัวใหม่
prayao,วัดก๊อน้อย
prayao,วัดป่าแดด
prayao,วัดห้วยบง
prayao,วัดนันตาราม 
prayao,วัดหนอง
prayao,วัดหลวง
prayao,วัดงุ้นพัฒนา
prayao,วัดสังคหะราษฎร์
prayao,วัดศรีดอนชัย
prayao,วัดป่าม่วง
prayao,วัดทุ่งหนอง
prayao,วัดราษฎร์บำรุง
prayao,วัดสลาบ
prayao,วัดเหล่าธาตุ
prayao,วัดบ้านปิน
prayao,วัดแม่สุกธาตุ
prayao,วัดหม้อแกงทอง
prayao,วัดสะพานดำ
prayao,วัดร่องคำ
prayao,วัดพระธาตุจอมคีรีเวียงหม้าย
prayao,วัดสันทราย
prayao,วัดแม่จั๊วะ
prayao,วัดบ้านหลวง
prayao,วัดดอกบัว
prayao,วัดหนองลาว
prayao,วัดจนหลวง
prayao,วัดกว้าน
prayao,วัดพระธาตุมุงเมือง
prayao,วัดทัศนาราม
prayao,วัดห้วยขุ่น
prayao,วัดช้างหิน
prayao,วัดสักลอ
prayao,วัดบ้านตุ่น
prayao,วัดกู่ผางลาง
prayao,วัดร่องไฮ
prayao,วัดใหม่พัฒนา 
prayao,วัดแม่กาไร่
prayao,วัดหนองบัว
prayao,วัดทุ่งกิ่ว
prayao,วัดห้วยเคียนเหนือ
prayao,วัดสันต้นแหน
prayao,วัดสางเหนือ
prayao,วัดใหม่ต้นฝาง
prayao,วัดสันสลี
prayao,วัดดอนแก้ว
prayao,วัดป่าฝาง
prayao,วัดบุญเรือง
prayao,วัดเกษศรี
prayao,วัดดอนตัน
prayao,วัดพระธาตุจำม่วง
prayao,วัดต๊ำป่าลาน
prayao,วัดสระใต้
prayao,วัดเปื๋อยเปียง
prayao,วัดป่ากล้วยงาม
prayao,วัดศรีปิงเมือง
prayao,วัดสั่นป่างิ้วงาม
prayao,วัดสันช้างหิน
prayao,วัดกิ่วแก้ว
prayao,วัดพระแก้ว
prayao,วัดบุบผาราม
prayao,วัดแม่ทาย
prayao,วัดแม่ใส
prayao,วัดศรีพรมบัวนาค
prayao,วัดนาดอ
prayao,วัดศรีอุโมงค์คำ
prayao,วัดป่าแฝกกลาง
prayao,วัดเชียงหมั้น
prayao,วัดบ้านงิ้ว
prayao,วัดราชคฤห์
prayao,วัดปัจฉิมวาส
prayao,วัดดอนเงิน
prayao,วัดก๊อซาว
prayao,วัดบ่อเบี้ย
prayao,วัดบุญเกิด
prayao,วัดพระธาตุดอยคำ
prayao,วัดบุญโยง
prayao,วัดบ้านแม่ปืม
prayao,วัดน้ำปุก
prayao,วัดแวนโค้ง
prayao,วัดแสะ
prayao,วัดทุ่งมอก
prayao,วัดศรีดอนตัน
prayao,วัดน้ำมิน
prayao,วัดภูมินทร์
prayao,วัดพระธาตุสบแวน
prayao,วัดศรีดอนชัย 
prayao,วัดป่าแขม
prayao,วัดหล่ายทุ่ง
prayao,วัดทุ่งควบ
prayao,วัดศรีเมืองมาง
prayao,วัดแม่ต๋อมใน
prayao,วัดไทยสุภาพ
prayao,วัดหนองสระ
prayao,วัดอิงโค้ง 
prayao,วัดเทพวราราม
prayao,วัดศรีดอนแก้ว
prayao,วัดศรีเกิด
prayao,วัดสบบง
prayao,วัดทุ่งหล่ม
prayao,วัดห้วยข้าวก่ำ
prayao,วัดผาฮาว
prayao,วัดหัวข่วงแก้ว
prayao,วัดดอนเหล็ก
prayao,วัดม่วง
prayao,วัดม่วงคำ
prayao,วัดพวงพยอม
prayao,วัดสบสา
prayao,วัดท่าฟ้าเหนือ
prayao,วัดพระธาตุต้นฝาง
prayao,วัดสีพรม
prayao,วัดหนองบัวเงิน
prayao,วัดพระธาตุโป่งขาม
prayao,วัดห้วยลึก
prayao,วัดเชียงคาน
prayao,วัดนาปรัง
prayao,วัดพระธาตุดอยจุก
prayao,วัดแวนวัฒนา
prayao,วัดจำบอน
prayao,วัดปางมดแดง
prayao,วัดแดนเมือง
prayao,วัดเชียงทอง
prayao,วัดฝั่งหมิ่น
prayao,วัดศรีสุพรรณ
prayao,วัดห้วยผาเกี๋ยง
prayao,วัดบ้านบัว
prayao,วัดศรีกู่เอี้ยง
prayao,วัดสันปูเลย
prayao,วัดสันกลาง
prayao,วัดศรีชุม
prayao,วัดลี
prayao,วัดห้วยสิงห์
prayao,วัดสันป่าพาด
prayao,วัดดงสุวรรณ
prayao,วัดร่องชมภู
prayao,วัดป่าคา
prayao,วัดแม่วังช้าง
prayao,วัดหนองเลา
prayao,วัดม่วงชุม
prayao,วัดเนินสามัคคี
prayao,วัดตาลถ้อย
prayao,วัดบ้านโซ้
prayao,วัดแสนเมืองมา
prayao,วัดพระธาตุจำไก่
prayao,วัดแม่นาเรือ
prayao,วัดพระธาตุจอมทอง
prayao,วัดร่องค้อม
prayao,วัดกองแล
prayao,วัดทุ่งกล้วย
prayao,วัดร้องใหม่
prayao,วัดบุญนาค
prayao,วัดสันดอนแก้ว
prayao,วัดป่าคาใหม่
prayao,วัดร่องคือ
prayao,วัดค้างหงษ์
prayao,วัดเนินสมบูรณ์วนาราม
prayao,วัดค่าไพบูลย์
prayao,วัดบ้านเหยี่ยน
prayao,วัดปิน
prayao,วัดคุ้ม
prayao,วัดธรรมมิการาม
prayao,วัดร่องส้าน
prayao,วัดปัวชัย
prayao,วัดปงใหม่
prayao,วัดทุ่งหลวง
prayao,วัดห้วยสา
prayao,วัดเจดีย์งาม
prayao,วัดพระธาตุบุญนาค
prayao,วัดฮวก
prayao,วัดปง
prayao,วัดวังบง
prayao,วัดสันกว๊าน
